Year,Skill,Count
2023,SQL,59998
2023,Работа в команде,44255
2023,Linux,39552
2023,Git,36609
2023,Python,34369
2022,Работа в команде,92398
2022,SQL,89832
2022,Git,67725
2022,Linux,57900
2022,Python,47807
2021,Работа в команде,96443
2021,SQL,96415
2021,Git,74303
2021,Linux,57965
2021,Python,49872
2020,SQL,56755
2020,Git,45501
2020,Работа в команде,39116
2020,Linux,36575
2020,Python,28055
2019,SQL,25629
2019,Git,25126
2019,Работа в команде,20011
2019,Linux,18152
2019,Python,14710
2018,Git,19460
2018,SQL,16130
2018,Работа в команде,13214
2018,Linux,12440
2018,Python,0
2017,Git,12584
2017,SQL,9936
2017,Работа в команде,8173
2017,Linux,7952
2017,Python,0
2016,Git,8450
2016,Работа в команде,7109
2016,SQL,6567
2016,Linux,0
2016,Python,0
2015,Git,2528
2015,SQL,2148
2015,Работа в команде,0
2015,Linux,0
2015,Python,0